BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,lat,lng
5,246,0,0,7094,52,5,10309.0,1.0,0.0,1.0,4427.0,2190.0,2017.0,1,5,762669,2019-12-10,40.5449348,-74.2208256
1,42,10,4,174,1530,109,10013.0,1.0,0.0,1.0,0.0,0.0,2018.0,2,109,2628200,2019-10-11,40.71722310000001,-74.0045792
2,11,0,0,4881,63,2,10469.0,1.0,0.0,1.0,2500.0,686.0,1915.0,1,2,300000,2019-06-13,40.8782035,-73.83732309999999
5,98,3,1,4645,1076,108,10306.0,1.0,0.0,1.0,0.0,0.0,1981.0,1,108,365000,2019-08-20,40.555134,-74.14343079999999
4,208,2,0,11601,63,13,11420.0,3.0,0.0,3.0,2200.0,2770.0,1945.0,1,13,700000,2019-09-26,40.68202000000001,-73.8207539
1,227,10,4,1226,1208,109,10025.0,1.0,0.0,1.0,0.0,0.0,1971.0,2,109,1122000,2019-05-09,40.793531,-73.97022299999999
1,68,10,4,441,1229,109,10009.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,874500,2019-03-29,40.730308,-73.981605
3,173,12,7,1053,1505,106,11215.0,1.0,0.0,1.0,0.0,0.0,2008.0,2,106,658000,2019-06-21,40.6639972,-73.98820250000001
3,23,2,0,5717,26,13,11219.0,3.0,0.0,3.0,2000.0,3300.0,1901.0,1,13,10,2019-07-17,40.6306634,-74.00195269999999
2,53,0,0,5464,5,5,10465.0,1.0,0.0,1.0,1458.0,1116.0,1950.0,1,5,556000,2019-02-14,40.8350136,-73.81931089999999
4,84,10,4,5066,1770,109,11354.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,10,2019-10-18,40.7572737,-73.8371241
4,236,11,5,4678,17,130,11357.0,3.0,2.0,5.0,3283.0,4596.0,1930.0,2,130,5250750,2019-12-12,40.7886667,-73.8134486
3,19,6,4,6238,39,14,11214.0,38.0,0.0,38.0,10000.0,32000.0,1927.0,2,14,8000000,2019-02-12,40.6113405,-73.99534919999999
3,20,0,0,8415,25,8,11234.0,1.0,0.0,1.0,2000.0,1092.0,1925.0,1,8,553000,2019-07-01,40.6222674,-73.90610670000001
1,68,10,4,441,1258,109,10009.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,965000,2019-12-24,40.730308,-73.981605
3,44,6,5,1952,12,16,11238.0,4.0,0.0,4.0,1800.0,1440.0,1905.0,2,16,17500,2019-04-25,40.6877736,-73.9617878
1,192,10,4,1373,1707,109,10044.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,1170000,2019-06-17,40.75827839999999,-73.9536439
3,139,0,0,7886,42,2,11234.0,1.0,0.0,1.0,4000.0,1823.0,1925.0,1,2,999000,2019-12-05,40.6161672,-73.9339844
4,12,10,4,5893,1867,109,11360.0,1.0,0.0,1.0,0.0,0.0,1972.0,2,109,257500,2019-03-08,40.7780359,-73.7808993
5,246,1,0,7014,218,10,10309.0,2.0,0.0,2.0,5360.0,2448.0,1980.0,1,10,870000,2019-06-28,40.5363484,-74.2168549
4,111,0,0,10482,18,1,11423.0,1.0,0.0,1.0,2400.0,1264.0,1920.0,1,1,520000,2019-11-13,40.71563,-73.760521
1,226,10,4,1171,4520,109,10023.0,1.0,0.0,1.0,0.0,0.0,2014.0,2,109,4765019,2019-04-29,40.7718384,-73.990689
5,140,0,0,1172,245,1,10303.0,1.0,0.0,1.0,4847.0,1088.0,1920.0,1,1,341000,2019-06-06,40.6285969,-74.1500764
4,84,9,4,4972,1333,107,11351.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,107,1186456,2019-08-27,40.759613,-73.8334454
5,195,1,0,7032,72,12,10309.0,2.0,0.0,2.0,2306.0,2424.0,1999.0,1,12,595000,2019-10-24,40.545124,-74.21008499999999
1,224,10,4,1540,1347,109,10128.0,1.0,0.0,1.0,0.0,0.0,2016.0,2,109,4119380,2019-08-05,40.7843515,-73.949658
1,39,10,4,742,1035,109,10011.0,1.0,0.0,1.0,0.0,0.0,1950.0,2,109,920000,2019-09-27,40.7426858,-74.0013242
4,143,1,0,3781,17,10,11379.0,2.0,0.0,2.0,2500.0,2100.0,1920.0,1,10,665000,2019-10-02,40.712303,-73.8728129
4,141,0,0,2773,38,5,11379.0,1.0,0.0,1.0,1950.0,1018.0,1960.0,1,5,670000,2019-08-22,40.7145437,-73.8968162
3,63,10,4,2060,1242,109,11201.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,1800000,2019-10-23,40.6934737,-73.98266290000001
1,224,10,4,1551,1174,109,10128.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,5700000,2019-11-06,40.7788478,-73.9482829
4,244,1,0,8916,74,10,11421.0,2.0,0.0,2.0,5000.0,2216.0,1920.0,1,10,950000,2019-02-12,40.689682,-73.86128660000001
3,78,0,0,5048,66,4,11226.0,1.0,0.0,1.0,2450.0,3348.0,1901.0,1,4,1500000,2019-08-15,40.6560441,-73.9572328
4,141,6,5,2739,50,15,11378.0,6.0,0.0,6.0,3300.0,5400.0,1931.0,2,15,1510000,2019-09-18,40.720664,-73.903167
4,111,0,0,10915,15,1,11429.0,1.0,0.0,1.0,3300.0,1568.0,1920.0,1,1,640000,2019-01-28,40.710309,-73.74978109999999
5,206,0,0,3110,44,5,10305.0,1.0,0.0,1.0,2250.0,1348.0,2018.0,1,5,554946,2019-07-09,40.5948041,-74.0691317
1,224,10,4,1543,1021,109,10075.0,1.0,0.0,1.0,0.0,0.0,1973.0,2,109,720000,2019-11-01,40.7734898,-73.9524729
3,241,12,7,2131,1004,106,11249.0,1.0,0.0,1.0,0.0,0.0,1910.0,2,106,765000,2019-10-31,40.7098901,-73.9641948
4,121,0,0,9945,44,1,11432.0,1.0,0.0,1.0,6520.0,1750.0,1940.0,1,1,1031000,2019-12-12,40.7151213,-73.7819904
4,189,1,0,3385,66,9,11385.0,2.0,0.0,2.0,1858.0,1980.0,1901.0,1,9,845000,2019-04-16,40.707411,-73.90571
4,84,0,0,5534,141,0,11358.0,1.0,0.0,1.0,4000.0,1485.0,1955.0,1,0,900000,2019-06-14,40.754105,-73.788731
5,4,0,0,3108,62,5,10305.0,1.0,0.0,1.0,2000.0,1870.0,2018.0,1,5,595676,2019-09-04,40.5955282,-74.06948419999999
4,84,0,0,5569,16,0,11365.0,1.0,0.0,1.0,4000.0,945.0,1955.0,1,0,710000,2019-03-29,40.747843,-73.801611
1,226,37,8,1171,2444,121,10069.0,0.0,1.0,1.0,0.0,0.0,2004.0,4,121,6500000,2019-06-28,40.78026089999999,-73.98720039999999
3,8,1,0,6464,148,11,11214.0,2.0,0.0,2.0,2127.0,1687.0,1940.0,1,11,990000,2019-05-13,40.6011393,-74.0058778
1,39,10,4,764,1315,109,10011.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,3026953,2019-03-20,40.739019,-74.0000094
4,207,2,0,10122,37,13,11433.0,3.0,0.0,3.0,4000.0,2216.0,1925.0,1,13,820000,2019-01-31,40.6956144,-73.7990627
1,134,10,4,248,1381,109,10002.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,1318613,2019-06-24,40.710446,-73.991227
3,33,1,0,3388,55,10,11221.0,2.0,0.0,2.0,2000.0,3000.0,1920.0,1,10,25000,2019-04-02,40.6886128,-73.9150562
5,98,0,0,5117,61,2,10308.0,1.0,0.0,1.0,4000.0,1884.0,1960.0,1,2,780000,2019-08-20,40.5495061,-74.139149
4,69,0,0,2471,65,2,11373.0,1.0,0.0,1.0,2142.0,918.0,1940.0,1,2,815000,2019-08-27,40.735758,-73.884529
4,84,1,0,5299,37,11,11358.0,2.0,0.0,2.0,4000.0,1324.0,1935.0,1,11,800000,2019-11-08,40.764277,-73.7943109
1,224,10,4,1543,1019,109,10075.0,1.0,0.0,1.0,0.0,0.0,1973.0,2,109,695000,2019-09-24,40.7734898,-73.9524729
3,216,9,4,783,1105,109,11220.0,1.0,0.0,1.0,0.0,0.0,1937.0,2,107,430950,2019-08-08,40.646643,-74.011966
4,65,1,0,1092,65,11,11369.0,2.0,0.0,2.0,3897.0,2024.0,1950.0,1,11,10,2019-09-21,40.7675405,-73.8719895
5,49,5,0,649,9,40,10304.0,0.0,0.0,0.0,5000.0,0.0,1915.0,1,39,824782,2019-12-02,40.6146253,-74.0869929
2,152,21,8,2700,39,42,10459.0,0.0,3.0,3.0,2006.0,1916.0,1949.0,4,41,10,2019-12-17,40.8258716,-73.8971062
1,146,10,4,1320,1198,109,10017.0,1.0,0.0,1.0,0.0,0.0,1982.0,2,109,1350000,2019-02-28,40.7529103,-73.97040439999999
3,173,12,7,1023,1201,106,11215.0,1.0,0.0,1.0,0.0,0.0,2003.0,2,106,785000,2019-02-07,40.6668234,-73.98569549999999
4,207,0,0,10252,3,5,11433.0,1.0,0.0,1.0,1900.0,646.0,1950.0,1,5,440000,2019-09-24,40.702113,-73.78166
1,146,10,4,1341,1236,109,10017.0,1.0,0.0,1.0,0.0,0.0,1962.0,2,109,651680,2019-10-10,40.7533566,-73.9682737
3,23,9,4,5468,1109,107,11204.0,1.0,0.0,1.0,0.0,0.0,1920.0,2,107,612000,2019-10-04,40.62577,-73.9811132
3,44,6,6,1929,16,14,11205.0,7.0,0.0,7.0,1417.0,3000.0,1905.0,2,14,2155000,2019-04-11,40.6890671,-73.9687861
4,48,1,0,4050,8,10,11356.0,2.0,0.0,2.0,4677.0,2352.0,1950.0,1,10,900000,2019-09-24,40.78526400000001,-73.85201599999999
3,170,0,0,8385,1,1,11234.0,1.0,0.0,1.0,2500.0,1148.0,1920.0,1,1,610000,2019-01-31,40.6181015,-73.9144998
5,96,0,0,3156,36,1,10304.0,1.0,0.0,1.0,5000.0,1144.0,1920.0,1,1,579000,2019-03-28,40.6062806,-74.0873465
5,160,0,0,4052,23,2,10306.0,1.0,0.0,1.0,4000.0,1092.0,1960.0,1,2,475000,2019-10-03,40.5631146,-74.10974999999999
2,127,0,0,3253,138,5,10463.0,1.0,0.0,1.0,1858.0,1578.0,1920.0,1,5,540750,2019-01-24,40.87425,-73.90236399999999
4,186,1,0,9432,48,11,11419.0,2.0,0.0,2.0,1857.0,1556.0,1925.0,1,11,700000,2019-10-16,40.6873177,-73.8291618
4,12,0,0,6015,6,1,11360.0,1.0,0.0,1.0,5054.0,2548.0,1920.0,1,1,1150000,2019-02-25,40.776062,-73.77408199999999
2,53,0,0,5415,9,5,10465.0,1.0,0.0,1.0,2500.0,1836.0,1975.0,1,5,565000,2019-09-20,40.845079,-73.820014
3,240,10,4,2331,1122,109,11211.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,109,973500,2019-07-01,40.7148187,-73.9530407
3,36,1,0,450,30,11,11231.0,2.0,0.0,2.0,1842.0,2280.0,1899.0,1,11,2828000,2019-10-30,40.6793412,-73.9935856
