BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,lat,lng
3,44,1,0,1980,26,11,11238.0,2.0,0.0,2.0,1800.0,2960.0,1899.0,1,11,10000,2019-03-05,40.6845161,-73.9638358
3,14,10,4,1747,1311,109,11206.0,1.0,0.0,1.0,0.0,0.0,2018.0,2,109,679376,2019-10-24,40.6961587,-73.9481851
4,211,1,0,12666,10,11,11413.0,2.0,0.0,2.0,5051.0,1112.0,1950.0,1,11,595000,2019-10-30,40.6842929,-73.76018499999999
3,61,12,7,44,1008,106,11201.0,1.0,0.0,1.0,0.0,0.0,2002.0,2,106,810000,2019-12-18,40.7022944,-73.9809701
4,208,1,0,11599,34,11,11420.0,2.0,0.0,2.0,1900.0,1140.0,1930.0,1,11,635000,2019-01-28,40.6806381,-73.82173000000002
3,216,1,0,633,16,12,11215.0,2.0,0.0,2.0,2504.0,1670.0,1910.0,1,12,400000,2019-02-19,40.7402447,-73.9964854
1,222,10,4,16,8132,109,10280.0,1.0,0.0,1.0,0.0,0.0,1990.0,2,109,960000,2019-04-30,40.7078381,-74.0174577
1,226,10,4,1182,1228,109,10023.0,1.0,0.0,1.0,0.0,0.0,1920.0,2,109,1817576,2019-12-17,40.7797089,-73.986914
4,203,0,0,12186,20,5,11434.0,1.0,0.0,1.0,1600.0,1152.0,1955.0,1,5,473576,2019-12-21,40.686976,-73.79157099999999
4,113,0,0,10503,93,1,11423.0,1.0,0.0,1.0,7015.0,1638.0,1955.0,1,1,750000,2019-09-26,40.7214605,-73.77632760000002
4,194,0,0,13638,21,1,11422.0,1.0,0.0,1.0,2518.0,1240.0,1950.0,1,1,485000,2019-12-19,40.6557109,-73.73954599999999
3,14,6,5,1760,29,16,11206.0,4.0,0.0,4.0,2000.0,2520.0,1931.0,2,16,1575000,2019-05-21,40.69492,-73.944502
4,143,0,0,3064,32,1,11379.0,1.0,0.0,1.0,2342.0,1248.0,1930.0,1,1,702000,2019-09-06,40.714058,-73.876283
4,208,0,0,11636,24,1,11420.0,1.0,0.0,1.0,2650.0,1380.0,1925.0,1,1,460000,2019-01-04,40.682648,-73.809512
1,147,10,4,1032,1335,109,10036.0,1.0,0.0,1.0,0.0,0.0,2004.0,2,109,1100000,2019-01-09,40.7578531,-73.9923304
4,48,1,0,4130,3,10,11356.0,2.0,0.0,2.0,2500.0,1830.0,1915.0,1,10,859999,2019-06-03,40.8023786,-73.93421699999999
3,170,0,0,7895,38,8,11234.0,1.0,0.0,1.0,1333.0,1164.0,1925.0,1,8,365000,2019-04-04,40.6184041,-73.9265034
4,189,1,0,3482,1,10,11385.0,2.0,0.0,2.0,2500.0,3092.0,1925.0,1,10,824783,2019-12-18,40.7036943,-73.9028682
3,20,0,0,8434,62,0,11234.0,1.0,0.0,1.0,4000.0,2200.0,1950.0,1,0,770000,2019-11-13,40.6205511,-73.9036716
5,163,3,1,2450,1849,108,10314.0,1.0,0.0,1.0,0.0,0.0,1985.0,1,108,275000,2019-03-15,40.5809039,-74.1622651
4,247,1,0,1190,71,9,11377.0,2.0,0.0,2.0,2200.0,2088.0,1930.0,1,9,1103000,2019-06-28,40.751383,-73.899512
4,143,2,0,3773,56,13,11379.0,3.0,0.0,3.0,2027.0,3000.0,1910.0,1,13,920000,2019-11-21,40.712464,-73.87670299999999
3,64,1,0,5902,27,9,11228.0,2.0,0.0,2.0,2000.0,3120.0,1905.0,1,9,1300000,2019-05-28,40.6267799,-74.0124979
3,33,2,0,3428,67,13,11207.0,3.0,0.0,3.0,2000.0,2520.0,1925.0,1,13,2800000,2019-01-16,40.687281,-73.90935999999999
2,237,0,0,4666,35,1,10467.0,1.0,0.0,1.0,2856.0,1482.0,1910.0,1,1,338000,2019-05-03,40.8827736,-73.86230170000002
4,114,3,1,13940,1047,108,11414.0,1.0,0.0,1.0,0.0,0.0,1981.0,1,108,740000,2019-01-30,40.6619322,-73.85546579999999
3,30,1,0,3763,104,9,11212.0,2.0,0.0,2.0,816.0,1959.0,2007.0,1,9,609900,2019-06-05,40.6668017,-73.9027818
4,129,0,0,12908,45,1,11413.0,1.0,0.0,1.0,3700.0,1535.0,1945.0,1,1,540000,2019-01-02,40.680617,-73.737662
4,114,0,0,14044,36,1,11414.0,1.0,0.0,1.0,3434.0,2040.0,1960.0,1,1,700000,2019-07-25,40.653728,-73.84295399999999
2,237,1,0,4661,16,9,10467.0,2.0,0.0,2.0,1858.0,2808.0,2004.0,1,9,650000,2019-04-15,40.879326,-73.86410200000002
4,215,1,0,132,58,9,11377.0,2.0,0.0,2.0,1900.0,1830.0,1920.0,1,9,1655000,2019-07-29,40.7378997,-73.9255692
5,163,1,0,2114,19,10,10314.0,2.0,0.0,2.0,3800.0,2556.0,1965.0,1,10,695000,2019-11-05,40.5948295,-74.1643422
3,23,0,0,5481,50,8,11204.0,1.0,0.0,1.0,1603.0,1024.0,1930.0,1,8,817000,2019-12-18,40.62314689999999,-73.9795511
4,48,2,0,3979,14,13,11356.0,3.0,0.0,3.0,2500.0,2200.0,1960.0,1,13,935000,2019-06-13,40.7885459,-73.838825
4,236,0,0,4421,39,1,11357.0,1.0,0.0,1.0,6246.0,2775.0,1935.0,1,1,2850000,2019-08-15,40.7900758,-73.8304242
5,115,0,0,6583,51,1,10312.0,1.0,0.0,1.0,2575.0,1384.0,1925.0,1,1,375900,2019-05-20,40.5292897,-74.1901304
4,72,0,0,15695,1,2,11691.0,1.0,0.0,1.0,6361.0,2107.0,1955.0,1,2,490000,2019-12-19,40.6093412,-73.7681715
5,180,2,0,1073,24,13,10302.0,3.0,0.0,3.0,2266.0,2904.0,2005.0,1,13,512500,2019-05-07,40.6390487,-74.13405460000001
4,208,0,0,11712,66,1,11420.0,1.0,0.0,1.0,2650.0,1344.0,1925.0,1,1,250000,2019-12-20,40.674657,-73.81889199999999
4,17,4,2,8641,3,131,11426.0,0.0,0.0,0.0,3861.0,0.0,2019.0,1,131,370000,2019-02-05,40.7360261,-73.71963199999999
3,239,37,8,2742,1180,121,11211.0,0.0,1.0,1.0,0.0,0.0,2018.0,4,121,845010,2019-05-07,40.7169283,-73.9485898
3,8,1,0,6461,228,12,11214.0,2.0,0.0,2.0,2013.0,1240.0,1940.0,1,12,980000,2019-10-29,40.6030609,-74.01393399999999
5,215,14,8,662,32,94,10301.0,1.0,1.0,2.0,7930.0,2792.0,2007.0,4,94,1565000,2019-07-26,40.61112010000001,-74.10034379999999
3,33,1,0,3194,4,126,11221.0,2.0,1.0,3.0,2000.0,2500.0,1931.0,1,126,1780000,2019-07-19,40.7423205,-73.9891159
4,87,0,0,2243,39,3,11375.0,1.0,0.0,1.0,4250.0,2080.0,1955.0,1,3,1550000,2019-06-24,40.725524,-73.83932000000001
1,231,12,7,2110,1101,106,10032.0,1.0,0.0,1.0,0.0,0.0,1905.0,2,106,997604,2019-05-30,40.835674,-73.938891
4,183,0,0,7921,38,2,11427.0,1.0,0.0,1.0,4000.0,1040.0,1945.0,1,2,700000,2019-08-08,40.73614,-73.73550999999999
4,87,9,4,3258,1136,107,11375.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,107,1150521,2019-01-09,40.719563,-73.8415639
5,2,1,0,6249,48,10,10312.0,2.0,0.0,2.0,3512.0,2423.0,2018.0,1,10,901151,2019-06-25,40.5364265,-74.1815222
3,149,1,0,8592,9,9,11234.0,2.0,0.0,2.0,3240.0,2424.0,1970.0,1,9,10,2019-06-28,40.6064928,-73.916027
5,221,3,1,2140,1012,108,10314.0,1.0,0.0,1.0,0.0,0.0,1983.0,1,108,355000,2019-04-10,40.60314839999999,-74.1715742
1,123,10,4,702,1056,109,10001.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,3873600,2019-05-17,40.7533222,-74.0031546
3,78,11,5,5024,72,128,11225.0,4.0,1.0,5.0,1378.0,4743.0,1931.0,2,128,700000,2019-08-09,40.6609777,-73.9615348
3,93,22,8,440,24,30,11215.0,0.0,1.0,1.0,1800.0,1800.0,1931.0,4,29,11053305,2019-10-17,40.678429,-73.98641599999999
1,43,10,4,1072,1246,109,10036.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,109,758596,2019-11-06,40.7606215,-73.9954858
4,16,0,0,16283,15,1,11694.0,1.0,0.0,1.0,3000.0,1422.0,1930.0,1,1,885000,2019-09-09,40.5724288,-73.8551188
1,80,12,7,823,1302,106,10010.0,1.0,0.0,1.0,0.0,0.0,1851.0,2,106,2345000,2019-06-26,40.7425969,-73.9945099
3,239,1,0,3050,35,126,11206.0,2.0,1.0,3.0,2500.0,4750.0,1930.0,1,126,2500000,2019-11-15,40.707114,-73.9475336
2,230,2,0,5021,7,13,10466.0,3.0,0.0,3.0,2756.0,2800.0,1986.0,1,13,740000,2019-04-26,40.893793,-73.842765
4,34,0,0,12788,9,2,11411.0,1.0,0.0,1.0,4000.0,930.0,1945.0,1,2,350000,2019-11-07,40.6889759,-73.734555
4,133,10,4,52,1108,109,11101.0,1.0,0.0,1.0,0.0,0.0,2014.0,2,109,890000,2019-06-24,40.7477725,-73.9485254
3,239,12,7,2875,1504,106,11211.0,1.0,0.0,1.0,0.0,0.0,2016.0,2,106,670000,2019-05-17,40.7175032,-73.9421165
3,168,0,0,6615,28,1,11230.0,1.0,0.0,1.0,3000.0,1737.0,1920.0,1,1,1500000,2019-09-18,40.6109932,-73.9647975
4,143,2,0,2897,34,13,11379.0,3.0,0.0,3.0,2000.0,3292.0,1960.0,1,13,1238000,2019-02-27,40.7293733,-73.8759408
1,68,34,8,439,1006,116,10009.0,0.0,1.0,1.0,0.0,0.0,2015.0,4,116,240825,2019-12-19,40.72880809999999,-73.9817312
4,72,6,5,15560,41,16,11691.0,4.0,0.0,4.0,3780.0,2688.0,1931.0,2,16,450000,2019-11-08,40.6025994,-73.75061269999999
3,169,1,0,7219,13,12,11223.0,2.0,0.0,2.0,4000.0,2328.0,1940.0,1,12,1270000,2019-08-20,40.588493,-73.966878
2,41,29,8,5647,115,83,10464.0,0.0,1.0,1.0,5333.0,1064.0,1950.0,4,83,1100000,2019-04-24,40.8546863,-73.7893136
3,139,0,0,7888,62,1,11234.0,1.0,0.0,1.0,2450.0,1464.0,1920.0,1,1,700000,2019-08-12,40.6165223,-73.9317915
1,117,0,0,2215,324,1,10463.0,1.0,0.0,1.0,3000.0,2150.0,1901.0,1,1,500,2019-08-24,40.8772652,-73.9096441
4,125,0,0,3326,10,3,11415.0,1.0,0.0,1.0,12000.0,6700.0,1980.0,1,3,2250000,2019-12-12,40.7087179,-73.833068
1,101,6,5,569,31,16,10003.0,4.0,0.0,4.0,2728.0,7698.0,1900.0,2,16,12500000,2019-10-07,40.7336896,-73.9938232
2,237,1,0,4847,63,10,10466.0,2.0,0.0,2.0,2856.0,1200.0,1901.0,1,10,590000,2019-05-23,40.8847514,-73.85656159999999
3,169,1,0,7178,69,9,11223.0,2.0,0.0,2.0,2000.0,1664.0,1920.0,1,9,900000,2019-04-17,40.5922663,-73.9683903
2,152,1,0,3007,4,10,10459.0,2.0,0.0,2.0,2236.0,1934.0,1910.0,1,10,500000,2019-01-11,40.8297322,-73.8877578
4,104,2,0,16134,41,13,11693.0,3.0,0.0,3.0,1745.0,2820.0,2005.0,1,13,810000,2019-08-22,40.5859798,-73.8143494
3,201,1,0,7382,181,10,11229.0,2.0,0.0,2.0,2500.0,2960.0,1925.0,1,10,589000,2019-08-23,40.5972975,-73.9469003
3,148,0,0,6761,42,1,11230.0,1.0,0.0,1.0,2000.0,1722.0,1920.0,1,1,836500,2019-01-02,40.6109058,-73.95896189999999
4,189,6,5,3548,106,16,11385.0,4.0,0.0,4.0,2508.0,3250.0,1931.0,2,16,1300000,2019-05-03,40.697629,-73.90673699999999
3,14,1,0,1781,4,12,11216.0,2.0,0.0,2.0,1992.0,1960.0,1992.0,1,12,1360000,2019-08-14,40.691617,-73.9452589
3,44,2,0,1964,24,13,11238.0,3.0,0.0,3.0,2000.0,3008.0,1899.0,1,13,3640000,2019-01-07,40.68633090000001,-73.9641547
3,25,12,7,8665,1003,106,11235.0,1.0,0.0,1.0,0.0,0.0,2005.0,2,106,415000,2019-10-11,40.58064479999999,-73.96278699999999
2,217,9,4,5529,1037,107,10465.0,1.0,0.0,1.0,0.0,0.0,1998.0,2,107,364000,2019-07-15,40.809698,-73.801721
4,17,0,0,8645,3,1,11426.0,1.0,0.0,1.0,3300.0,2075.0,1930.0,1,1,800000,2019-10-25,40.729355,-73.7135349
4,141,0,0,2367,19,8,11378.0,1.0,0.0,1.0,2900.0,870.0,1940.0,1,8,738500,2019-08-23,40.72798900000001,-73.90375999999999
3,14,1,0,1673,13,11,11233.0,2.0,0.0,2.0,1800.0,2376.0,1901.0,1,11,1100000,2019-02-14,40.6836554,-73.9255915
3,100,1,0,2653,18,12,11222.0,2.0,0.0,2.0,1330.0,2394.0,1899.0,1,12,1876185,2019-11-06,40.7265187,-73.9458411
2,142,1,0,2400,19,10,10455.0,2.0,0.0,2.0,2500.0,2076.0,1899.0,1,10,540000,2019-01-23,40.8195177,-73.9167793
1,75,10,4,31,1233,109,10005.0,1.0,0.0,1.0,0.0,0.0,1987.0,2,109,1660000,2019-02-21,40.7051691,-74.00802399999999
3,14,1,0,1988,58,11,11216.0,2.0,0.0,2.0,1700.0,2504.0,1899.0,1,11,2525000,2019-09-20,40.7122494,-73.9962455
3,77,2,0,4764,37,13,11203.0,3.0,0.0,3.0,1740.0,2641.0,1970.0,1,13,730000,2019-03-27,40.644929,-73.9260991
5,220,1,0,8005,98,11,10307.0,2.0,0.0,2.0,4500.0,1392.0,1925.0,1,11,463500,2019-06-03,40.5110185,-74.2520057
1,123,10,4,702,1160,109,10001.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,4907124,2019-05-16,40.7533222,-74.0031546
3,66,1,0,3825,7,9,11207.0,2.0,0.0,2.0,2350.0,2147.0,1910.0,1,9,938324,2019-09-20,40.6640137,-73.8916256
3,32,19,8,736,1,35,11232.0,0.0,1.0,1.0,20033.0,25500.0,1913.0,4,34,18500000,2019-06-13,40.6522002,-74.013431
1,102,0,0,620,62,4,10014.0,1.0,0.0,1.0,910.0,2984.0,1899.0,1,4,4950000,2019-06-26,40.734741,-74.0034429
4,247,32,8,1300,1101,114,11377.0,0.0,1.0,1.0,0.0,0.0,2008.0,4,114,450000,2019-06-21,40.744882,-73.8968115
5,95,0,0,3591,39,1,10306.0,1.0,0.0,1.0,2990.0,1000.0,1920.0,1,1,585000,2019-11-15,40.5784327,-74.1035558
4,125,1,0,3321,270,9,11418.0,2.0,0.0,2.0,1850.0,1368.0,1970.0,1,9,610000,2019-05-06,40.704443,-73.83520299999999
1,39,10,4,738,1103,109,10011.0,1.0,0.0,1.0,0.0,0.0,1920.0,2,109,2650000,2019-06-26,40.7412822,-74.0046072
3,64,6,5,5760,74,16,11219.0,4.0,0.0,4.0,2400.0,4480.0,1920.0,2,16,1730000,2019-01-16,40.6260718,-74.00455800000002
4,89,1,0,7184,41,9,11366.0,2.0,0.0,2.0,3000.0,1848.0,1955.0,1,9,999000,2019-04-01,40.733582,-73.774495
4,211,0,0,13270,72,1,11434.0,1.0,0.0,1.0,2000.0,1100.0,1940.0,1,1,10,2019-10-18,40.665684,-73.77829799999999
1,224,10,4,1532,1002,109,10028.0,1.0,0.0,1.0,0.0,0.0,1981.0,2,109,800000,2019-09-19,40.7786258,-73.9527849
4,87,0,0,3224,59,1,11375.0,1.0,0.0,1.0,2700.0,1280.0,1920.0,1,1,940000,2019-11-27,40.713383,-73.850927
1,226,37,8,1171,2415,121,10069.0,0.0,1.0,1.0,0.0,0.0,2004.0,4,121,30000,2019-01-30,40.7803062,-73.9869264
5,242,0,0,750,85,2,10314.0,1.0,0.0,1.0,4400.0,912.0,1955.0,1,2,250000,2019-01-15,40.704785,-73.905953
3,55,10,4,1178,1122,109,11238.0,1.0,0.0,1.0,0.0,0.0,1925.0,2,109,606000,2019-10-02,40.6725228,-73.96072000000001
3,20,2,0,8355,25,13,11234.0,3.0,0.0,3.0,4475.0,3562.0,1965.0,1,13,1075000,2019-11-13,40.6251219,-74.00466759999999
4,194,1,0,13674,8,11,11422.0,2.0,0.0,2.0,4000.0,2228.0,1955.0,1,11,840000,2019-05-17,40.653415,-73.731647
3,76,2,0,5175,57,13,11218.0,3.0,0.0,3.0,4000.0,2596.0,1899.0,1,13,1280000,2019-07-03,40.6363698,-73.9670015
3,135,0,0,7292,60,3,11229.0,1.0,0.0,1.0,4000.0,3968.0,1930.0,1,3,4400000,2019-08-22,40.6016783,-73.9585985
4,207,1,0,10175,11,11,11433.0,2.0,0.0,2.0,2500.0,2046.0,1930.0,1,11,725000,2019-03-15,40.69633,-73.787233
3,66,1,0,3989,7,10,11208.0,2.0,0.0,2.0,5000.0,1492.0,1899.0,1,10,1323850,2019-10-28,40.6762925,-73.8811522
4,84,10,4,5186,1315,109,11355.0,1.0,0.0,1.0,0.0,0.0,2007.0,2,109,660000,2019-05-09,40.7546953,-73.8225619
4,34,0,0,12747,198,3,11411.0,1.0,0.0,1.0,4442.0,2486.0,2004.0,1,3,211650,2019-01-24,40.691933,-73.731337
1,101,10,4,570,1119,109,10003.0,1.0,0.0,1.0,0.0,0.0,2016.0,2,109,4516285,2019-04-17,40.73433490000001,-73.9928281
3,148,0,0,7608,51,8,11210.0,1.0,0.0,1.0,2058.0,1472.0,1925.0,1,8,890000,2019-07-18,40.62583100000001,-73.949919
1,73,33,8,834,1018,115,10001.0,0.0,1.0,1.0,0.0,0.0,1912.0,4,115,2450000,2019-06-17,40.7155278,-74.0072833
3,66,1,0,4471,43,9,11208.0,2.0,0.0,2.0,2900.0,2880.0,1997.0,1,9,10,2019-03-23,40.670316,-73.860809
3,35,1,0,8142,34,11,11236.0,2.0,0.0,2.0,2500.0,1670.0,1930.0,1,11,450000,2019-09-18,40.6456757,-73.9093784
2,11,1,0,4795,51,9,10469.0,2.0,0.0,2.0,2379.0,1872.0,2002.0,1,9,780000,2019-07-11,40.86896600000001,-73.836105
3,148,0,0,7585,54,1,11210.0,1.0,0.0,1.0,3000.0,1865.0,1925.0,1,1,1145000,2019-08-21,40.6277834,-73.9550168
3,90,5,0,8925,246,40,11229.0,0.0,0.0,0.0,1785.0,0.0,1950.0,1,39,245000,2019-06-19,40.59223799999999,-73.925693
5,220,0,0,7867,46,3,10307.0,1.0,0.0,1.0,14000.0,4000.0,1920.0,1,3,900000,2019-11-06,40.5080017,-74.2393689
4,89,0,0,7070,47,1,11365.0,1.0,0.0,1.0,12308.0,2024.0,1940.0,1,1,1530000,2019-08-29,40.7384119,-73.792384
2,230,1,0,4995,52,10,10466.0,2.0,0.0,2.0,2166.0,1976.0,1899.0,1,10,617000,2019-06-19,40.89547,-73.8589973
3,14,27,8,1860,5,97,11216.0,0.0,1.0,1.0,1705.0,5200.0,1910.0,4,97,1300000,2019-02-26,40.6801942,-73.9530722
3,216,11,6,688,38,129,11232.0,6.0,1.0,7.0,1600.0,4000.0,1926.0,2,129,1500000,2019-11-20,40.6554504,-74.0036703
2,53,1,0,5473,1,9,10465.0,2.0,0.0,2.0,3680.0,1816.0,1955.0,1,9,584000,2019-07-24,40.83215999999999,-73.8192505
4,34,0,0,11280,96,5,11411.0,1.0,0.0,1.0,2200.0,1624.0,1940.0,1,5,345774,2019-05-09,40.7004919,-73.740668
3,66,1,0,3996,22,11,11207.0,2.0,0.0,2.0,2500.0,1176.0,1901.0,1,11,350000,2019-08-20,40.6739781,-73.8880082
1,224,10,4,1539,1396,109,10128.0,1.0,0.0,1.0,0.0,0.0,1986.0,2,109,774559,2019-06-05,40.7836904,-73.9501583
4,143,0,0,2942,56,5,11379.0,1.0,0.0,1.0,1620.0,1080.0,1940.0,1,5,605000,2019-02-27,40.7257213,-73.87519809999999
4,133,10,4,405,1042,109,11101.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,577348,2019-08-19,40.7518438,-73.9379532
1,147,10,4,1048,2046,109,10019.0,1.0,0.0,1.0,0.0,0.0,1987.0,2,109,895000,2019-02-27,40.7670265,-73.9831799
4,12,0,0,5967,14,1,11360.0,1.0,0.0,1.0,5633.0,1054.0,1935.0,1,1,872000,2019-10-17,40.773732,-73.791753
1,223,10,4,1466,1013,109,10021.0,1.0,0.0,1.0,0.0,0.0,1990.0,2,109,1772250,2019-06-03,40.76691530000001,-73.9549414
2,116,19,8,2774,349,39,10474.0,0.0,1.0,1.0,50000.0,40000.0,1948.0,4,38,13000000,2019-08-12,40.8068634,-73.8852651
3,79,10,4,4837,1102,109,11226.0,1.0,0.0,1.0,0.0,0.0,2014.0,2,109,649000,2019-04-29,40.6544952,-73.9480291
1,226,10,4,1115,1082,109,10023.0,1.0,0.0,1.0,0.0,0.0,1932.0,2,109,1750000,2019-03-13,40.7707034,-73.98085449999999
5,187,0,0,2275,1,1,10306.0,1.0,0.0,1.0,15721.0,1854.0,1925.0,1,1,650000,2019-08-19,40.57620070000001,-74.1383785
4,52,1,0,1734,23,9,11368.0,2.0,0.0,2.0,4600.0,2248.0,1920.0,1,9,950000,2019-04-30,40.7545296,-73.8671463
1,101,10,4,570,1405,109,10003.0,1.0,0.0,1.0,0.0,0.0,2016.0,2,109,7295000,2019-01-14,40.734596,-73.9926617
1,43,10,4,1072,1229,109,10036.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,109,1198500,2019-10-10,40.7606215,-73.9954858
4,17,0,0,8578,41,2,11426.0,1.0,0.0,1.0,4000.0,1134.0,1945.0,1,2,655000,2019-08-13,40.738409,-73.721774
5,138,0,0,808,139,2,10314.0,1.0,0.0,1.0,4000.0,1251.0,1960.0,1,2,500000,2019-06-12,40.6038567,-74.1263129
1,223,10,4,1414,1107,109,10022.0,1.0,0.0,1.0,0.0,0.0,1965.0,2,109,1,2019-09-06,40.761661,-73.96533149999999
1,227,10,4,1226,1236,109,10025.0,1.0,0.0,1.0,0.0,0.0,1971.0,2,109,1785000,2019-02-26,40.793531,-73.97022299999999
3,100,10,4,2530,1115,109,11222.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,109,2235059,2019-04-26,40.73191569999999,-73.96068079999999
5,195,4,0,7028,36,10,10309.0,2.0,0.0,2.0,5053.0,0.0,2019.0,1,131,965000,2019-10-08,40.5431172,-74.2133964
3,10,6,4,5971,1,20,11209.0,12.0,1.0,13.0,3563.0,14060.0,1925.0,2,19,1650000,2019-09-19,40.6265715,-74.02359729999999
5,233,0,0,226,30,5,10310.0,1.0,0.0,1.0,1579.0,1176.0,2001.0,1,5,449000,2019-06-19,40.6305945,-74.1247243
3,8,34,8,6446,1310,119,11214.0,0.0,1.0,1.0,0.0,0.0,2018.0,4,119,687319,2019-03-01,40.5982905,-73.99906349999999
5,98,0,0,4985,21,5,10306.0,1.0,0.0,1.0,2400.0,1440.0,2018.0,1,5,651680,2019-02-21,40.5566653,-74.1307866
3,97,1,0,7119,19,10,11223.0,2.0,0.0,2.0,1423.0,1140.0,1930.0,1,10,675000,2019-08-05,40.5955162,-73.9784919
5,246,0,0,7094,41,5,10309.0,1.0,0.0,1.0,6236.0,1611.0,2017.0,1,5,661863,2019-07-17,40.54426,-74.220393
2,154,1,0,2802,13,11,10457.0,2.0,0.0,2.0,1381.0,2215.0,1901.0,1,11,695000,2019-06-27,40.8481219,-73.90565
5,2,0,0,6254,12,2,10312.0,1.0,0.0,1.0,4000.0,1222.0,1970.0,1,2,515000,2019-06-17,40.5396624,-74.1827785
2,13,6,4,3316,33,14,10468.0,47.0,0.0,47.0,11350.0,62548.0,1924.0,2,14,8115000,2019-08-15,40.868332,-73.8945672
1,134,10,4,248,1530,109,10002.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,1433542,2019-06-26,40.710446,-73.991227
3,168,9,4,5421,1025,107,11230.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,107,487734,2019-07-08,40.632529,-73.970888
3,14,12,7,1783,1306,106,11205.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,106,577857,2019-06-03,40.6896785,-73.954214
4,189,1,0,3571,59,11,11385.0,2.0,0.0,2.0,2500.0,1636.0,1960.0,1,11,727000,2019-03-20,40.694813,-73.896216
3,36,12,7,361,1102,106,11231.0,1.0,0.0,1.0,0.0,0.0,1910.0,2,106,1680000,2019-07-10,40.68014489999999,-73.9974099
2,177,1,0,4326,15,10,10461.0,2.0,0.0,2.0,5000.0,3050.0,1908.0,1,10,590000,2019-04-12,40.854244,-73.859191
1,42,10,4,135,1313,109,10007.0,1.0,0.0,1.0,0.0,0.0,1900.0,2,109,3900000,2019-04-23,40.71410290000001,-74.0072497
4,186,1,0,9543,27,11,11417.0,2.0,0.0,2.0,4000.0,1514.0,1920.0,1,11,400000,2019-10-11,40.679831,-73.8343016
3,35,1,0,8251,5,10,11236.0,2.0,0.0,2.0,4092.0,1725.0,1955.0,1,10,519000,2019-03-25,40.6441453,-73.89052319999999
3,14,12,7,1610,1006,106,11221.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,106,540000,2019-09-18,40.6912025,-73.93508810000002
3,81,0,0,7760,70,5,11234.0,1.0,0.0,1.0,1800.0,1116.0,1945.0,1,5,519662,2019-09-21,40.63203499999999,-73.92177699999999
3,170,0,0,8386,67,8,11234.0,1.0,0.0,1.0,2000.0,1368.0,1920.0,1,8,635000,2019-05-31,40.618918,-73.914326
5,213,1,0,515,97,10,10304.0,2.0,0.0,2.0,0.0,0.0,2018.0,1,10,936790,2019-05-23,40.7070371,-74.00866669999999
3,100,10,4,2530,1179,109,11222.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,109,2749275,2019-05-24,40.73191569999999,-73.96068079999999
1,227,10,4,1209,1352,109,10025.0,1.0,0.0,1.0,0.0,0.0,1929.0,2,109,3563875,2019-04-17,40.7915976,-73.9652052
3,167,1,0,1502,5,11,11233.0,2.0,0.0,2.0,1420.0,2238.0,1899.0,1,11,1475000,2019-10-04,40.683632,-73.917052
1,209,12,7,106,1010,106,10038.0,1.0,0.0,1.0,0.0,0.0,1900.0,2,106,1425000,2019-03-28,40.7090451,-74.0017116
3,216,0,0,898,45,5,11215.0,1.0,0.0,1.0,1247.0,1398.0,1930.0,1,5,1979000,2019-07-12,40.75586819999999,-73.9868541
1,94,10,4,878,1039,109,10010.0,1.0,0.0,1.0,0.0,0.0,1952.0,2,109,2721986,2019-09-03,40.739191,-73.9855783
4,133,10,4,78,1142,109,11101.0,1.0,0.0,1.0,0.0,0.0,2018.0,2,109,900000,2019-11-13,40.7476251,-73.9461771
3,19,2,0,6215,38,13,11204.0,3.0,0.0,3.0,2000.0,3240.0,2016.0,1,13,1880000,2019-01-23,40.6141348,-73.9960074
1,105,1,0,1905,49,12,10027.0,2.0,0.0,2.0,2018.0,6250.0,1910.0,1,12,2700000,2019-11-19,40.8056784,-73.9489438
3,167,1,0,1539,80,11,11233.0,2.0,0.0,2.0,1575.0,1631.0,1910.0,1,11,340000,2019-05-30,40.679063,-73.910515
3,79,2,0,4628,29,13,11212.0,3.0,0.0,3.0,2500.0,3288.0,1930.0,1,13,870000,2019-12-27,40.7823133,-73.9489555
3,25,2,0,8674,12,13,11235.0,3.0,0.0,3.0,2800.0,2736.0,1925.0,1,13,800000,2019-07-16,40.5786542,-73.9630902
