BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,FINAL_ADDRESS
1,105,32,8,1929,1346,114,10027.0,0.0,1.0,1.0,0.0,0.0,2008.0,4,114,76369,2019-12-26,"2300 8 AVENUE, CFU NYC"
4,12,0,0,7307,1,5,11361.0,1.0,0.0,1.0,3200.0,1024.0,1955.0,1,5,670000,2019-01-07,45-69 206TH STREET NYC
2,199,2,0,5339,84,13,10461.0,3.0,0.0,3.0,3392.0,2832.0,1925.0,1,13,900000,2019-11-26,1225 HOLLYWOOD AVENUE NYC
5,246,0,0,7106,190,5,10309.0,1.0,0.0,1.0,1143.0,1435.0,1990.0,1,5,405000,2019-12-03,197 LORRAINE LOOP NYC
2,11,1,0,4987,72,10,10466.0,2.0,0.0,2.0,2500.0,1874.0,1931.0,1,10,690000,2019-05-31,4015 SETON AVENUE NYC
5,180,2,0,1026,14,13,10302.0,3.0,0.0,3.0,4356.0,1550.0,1925.0,1,13,630000,2019-01-17,89 SIMONSON PLACE NYC
2,190,0,0,5885,1243,1,10471.0,1.0,0.0,1.0,2375.0,3667.0,1920.0,1,1,960000,2019-09-03,6142 LIEBIG AVENUE NYC
5,3,0,0,6018,18,5,10312.0,1.0,0.0,1.0,1760.0,1480.0,1973.0,1,5,442000,2019-06-17,61 HAMPTON GREEN NYC
4,207,0,0,12147,49,1,11433.0,1.0,0.0,1.0,2500.0,2208.0,1925.0,1,1,10,2019-03-24,156-13 110TH AVENUE NYC
4,92,1,0,3702,10,9,11385.0,2.0,0.0,2.0,2255.0,2208.0,1910.0,1,9,889000,2019-07-16,72-29 67TH PLACE NYC
3,33,10,4,3215,1015,109,11221.0,1.0,0.0,1.0,0.0,0.0,2018.0,2,109,382000,2019-11-11,"557 HART STREET, 3D NYC"
1,155,1,0,893,62,9,10016.0,2.0,0.0,2.0,1975.0,4000.0,1901.0,1,9,4080000,2019-10-18,142 EAST 38TH STREET NYC
1,134,10,4,248,1799,109,10002.0,1.0,0.0,1.0,0.0,0.0,2015.0,2,109,1629709,2019-11-26,"250 SOUTH STREET, 76G NYC"
3,167,6,5,1502,17,15,11233.0,6.0,0.0,6.0,2608.0,5089.0,1905.0,2,15,1700000,2019-12-16,750 MAC DONOUGH STREET NYC
